"","gyrR","sas1","sas2","isok"
"160",1.2012,0.25,0.075,TRUE
"169",1.20135,0.363,0.113,TRUE
"803",1.20188,0.253,0.113,TRUE
"235",1.20225,0.476,0.113,TRUE
"995",1.20229,0.439,0.113,TRUE
"14",1.20255,0.363,0.075,TRUE
"164",1.20266,0.325,0.075,TRUE
"878",1.20267,0.329,0.113,TRUE
"696",1.20308,0.11,0.113,TRUE
"371",1.20313,0.216,0.113,TRUE
"534",1.20334,0.253,0.113,TRUE
"526",1.20366,0.325,0.113,TRUE
"126",1.20368,0.325,0.113,TRUE
"554",1.20467,0.363,0.113,TRUE
"624",1.20531,0.174,0.075,TRUE
"804",1.20538,0.363,0.113,TRUE
"504",1.20578,0.325,0.113,TRUE
"892",1.20588,0.325,0.113,TRUE
"422",1.20701,0.219,0.113,TRUE
"343",1.20783,0.291,0.113,TRUE
"120",1.20785,0.363,0.113,TRUE
"980",1.20844,0.291,0.113,TRUE
"331",1.20943,0.212,0.113,TRUE
"262",1.20948,0.14,0.113,TRUE
"830",1.2095,0.363,0.113,TRUE
"124",1.20951,0.401,0.113,TRUE
"955",1.2118,0.363,0.113,TRUE
"167",1.21192,0.113,0.113,TRUE
"378",1.2134,0.325,0.113,TRUE
"921",1.21477,0.439,0.075,TRUE
"21",1.21635,0.14,0.075,TRUE
"433",1.21674,0.106,0.113,TRUE
"938",1.21683,0.439,0.075,TRUE
"335",1.21755,0.325,0.075,TRUE
"332",1.21762,0.223,0.113,TRUE
"453",1.21781,0.291,0.113,TRUE
"866",1.21793,0.363,0.038,TRUE
"902",1.21905,0.401,0.113,TRUE
"210",1.21915,0.174,0.075,TRUE
"523",1.21919,0.325,0.113,TRUE
"227",1.21929,0.137,0.113,TRUE
"148",1.21941,0.25,0.113,TRUE
"925",1.21944,0.174,0.113,TRUE
"284",1.21945,0.325,0.113,TRUE
"470",1.21975,0.253,0.113,TRUE
"680",1.21979,0.137,0.113,TRUE
"98",1.21987,0.113,0.113,TRUE
"212",1.22139,0.038,0.075,TRUE
"138",1.22171,0.363,0.075,TRUE
"228",1.22335,0.325,0.113,TRUE
"315",1.22374,0.178,0.113,TRUE
"365",1.22427,0.291,0.113,TRUE
"749",1.22452,0.363,0.075,TRUE
"459",1.22477,0.363,0.113,TRUE
"956",1.22602,0.25,0.113,TRUE
"152",1.2263,0.363,0.113,TRUE
"106",1.22678,0.11,0.113,TRUE
"700",1.22721,0.288,0.113,TRUE
"407",1.22753,0.113,0.113,TRUE
"773",1.22756,0.363,0.113,TRUE
"175",1.22813,0.363,0.113,TRUE
"609",1.22967,0.325,0.113,TRUE
"464",1.22971,0.288,0.113,TRUE
"537",1.22981,0.325,0.113,TRUE
"687",1.22987,0.363,0.113,TRUE
"628",1.22995,0.401,0.113,TRUE
"246",1.23009,0.288,0.075,TRUE
"574",1.2304,0.325,0.113,TRUE
"109",1.23163,0.329,0.113,TRUE
"876",1.23177,0.25,0.075,TRUE
"214",1.23303,0.178,0.113,TRUE
"924",1.23316,0.476,0.113,TRUE
"567",1.23388,0.325,0.113,TRUE
"226",1.23415,0.14,0.113,TRUE
"67",1.23436,0.288,0.113,TRUE
"605",1.2349,0.363,0.113,TRUE
"864",1.23558,0.363,0.113,TRUE
"376",1.23605,0.147,0.113,TRUE
"497",1.23627,0.401,0.075,TRUE
"37",1.23715,0.363,0.075,TRUE
"598",1.23792,0.363,0.113,TRUE
"543",1.23811,0.25,0.113,TRUE
"540",1.23903,0.253,0.113,TRUE
"851",1.23913,0.325,0.113,TRUE
"684",1.23919,0.288,0.113,TRUE
"62",1.23931,0.174,0.113,TRUE
"905",1.23932,0.325,0.113,TRUE
"894",1.2394,0.288,0.113,TRUE
"810",1.23941,0.288,0.113,TRUE
"481",1.23981,0.216,0.113,TRUE
"898",1.23985,0.363,0.038,TRUE
"390",1.23988,0.325,0.113,TRUE
"190",1.23991,0.185,0.113,TRUE
"931",1.24004,0.288,0.113,TRUE
"823",1.24014,0.325,0.113,TRUE
"638",1.2423,0.363,0.113,TRUE
"621",1.24235,0.147,0.113,TRUE
"973",1.2427,0.25,0.113,TRUE
"679",1.24365,0.178,0.113,TRUE
"806",1.24381,0.401,0.113,TRUE
"577",1.24464,0.288,0.113,TRUE
"573",1.24468,0.363,0.113,TRUE
"566",1.24477,0.038,0.113,TRUE
"934",1.24533,0.363,0.113,TRUE
"541",1.24546,0.325,0.113,TRUE
"508",1.24621,0.363,0.113,TRUE
"249",1.24629,0.325,0.113,TRUE
"969",1.24657,0.363,0.075,TRUE
"901",1.24715,0.401,0.075,TRUE
"224",1.24716,0.325,0.075,TRUE
"801",1.24749,0.103,0.113,TRUE
"65",1.24876,0.325,0.113,TRUE
"93",1.24907,0.363,0.113,TRUE
"372",1.24946,0.182,0.113,TRUE
"502",1.24993,0.075,0.075,TRUE
"304",1.25067,0.476,0.113,TRUE
"298",1.25122,0.363,0.113,TRUE
"584",1.25148,0.329,0.075,TRUE
"363",1.25151,0.476,0.075,TRUE
"489",1.25154,0.178,0.075,TRUE
"221",1.25157,0.075,0.113,TRUE
"325",1.25201,0.113,0.113,TRUE
"611",1.25205,0.325,0.075,TRUE
"563",1.25242,0.363,0.075,TRUE
"653",1.2539,0.325,0.075,TRUE
"615",1.25496,0.363,0.113,TRUE
"260",1.25571,0.075,0.113,TRUE
"132",1.25595,0.325,0.113,TRUE
"125",1.25678,0.363,0.113,TRUE
"987",1.25775,0.288,0.113,TRUE
"350",1.25782,0.253,0.113,TRUE
"463",1.25875,0,0.113,TRUE
"356",1.25887,0.363,0.113,TRUE
"307",1.25907,0.401,0.075,TRUE
"478",1.25992,0.257,0.113,TRUE
"313",1.26019,0.11,0.113,TRUE
"323",1.26058,0.034,0.113,TRUE
"741",1.26145,0.363,0.113,TRUE
"70",1.26147,0.25,0.075,TRUE
"710",1.26181,0.216,0.113,TRUE
"473",1.26226,0.401,0.113,TRUE
"303",1.2624,0.363,0.038,TRUE
"880",1.26313,0.325,0.075,TRUE
